待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
新城长风雅著 次新房 三室两卫 功能性三居 小区中心位置,3室,2厅,2卫,98,㎡,南北,低层(共11层),2020年建造,新城长风雅著,东丽,空港经济区,"航宇路,近东七道","南北,满五年,车位充足,",175,万,17858,元/㎡
刚刚 店调价 别看报价 低价合适 婚房装修洋房,2室,2厅,1卫,98.83,㎡,南北,共5层,2007年建造,红磡领世郡常春藤,津南,双港,领世环路,"南北,近地铁,",195,万,19731,元/㎡
碧春园 新上两室金角 中楼层 精装修自住房 红桥本 临地铁,2室,1厅,1卫,66.14,㎡,南北,中层(共34层),2012年建造,碧春园,红桥,双环邨街,"辰兴路,近南仓道","南北,满二年,近地铁,多人关注,",80,万,12096,元/㎡
急售  （三室）电梯洋房   楼龄新  税费低,3室,2厅,1卫,97.38,㎡,南,高层(共11层),2016年建造,复地湖滨广场,东丽,空港经济区,"中环东路,近东四道","南,满五年,",179,万,18382,元/㎡
秋瑞家园 满五年 税费低 看房方便,2室,1厅,1卫,94,㎡,南北,高层(共11层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,"南北,近地铁,",108,万,11490,元/㎡
2室1厅 玉泉北里 企业力荐好房诚意出售,2室,1厅,1卫,77.59,㎡,东西,中层(共6层),2000年建造,玉泉北里,南开,万兴街,长江道25号,"东西,满五年,近地铁,",199,万,25648,元/㎡
盛世嘉园 带电梯 临地铁 满五   朝南 低密度社区,2室,1厅,1卫,91.83,㎡,南,高层(共24层),2007年建造,盛世嘉园,河东,常州道,"凤凰路,近凤山路","南,满五年,近地铁,",157.4,万,17141,元/㎡
落房优选 积30 三室 总房款低 配套齐全 随时看房,3室,2厅,1卫,85.97,㎡,南北,低层(共17层),2017年建造,海阔苑,塘沽,北塘街,漳州道,"南北,多人关注,",64,万,7445,元/㎡
诚基中心国际公寓 电梯房 临地铁 购物方便 满五  ,2室,2厅,2卫,68.07,㎡,南,中层(共34层),2008年建造,诚基中心国际公寓,和平,体育馆,南京路125号,"南,热门小区,近地铁,房东急售,",398,万,58470,元/㎡
万科观澜    精装修 万科物业,3室,1厅,1卫,95,㎡,南北,低层(共27层),2013年建造,万科观澜,塘沽,胡家园街,和角道,"南北,多人关注,",75,万,7895,元/㎡
丽德花园 有电梯 正南朝向 小区新 精装好房,1室,1厅,1卫,62,㎡,南,低层(共32层),2014年建造,丽德花园,武清,黄庄街,泉水道,"南,满五年,",68,万,10968,元/㎡
梅江 满五 精装修 楼龄新 高楼层视野无遮挡 近医院 近地铁,1室,1厅,1卫,88.35,㎡,南,高层(共28层),2015年建造,雅境新枫尚,河西,梅江,沂山路,"南,满五年,近地铁,",235.1,万,26611,元/㎡
新房现房 合景泰富珒悦府 车位充足 刚需三居 双卫生间,3室,2厅,2卫,94,㎡,南北,低层(共7层),2020年建造,合景泰富珒悦府,滨海新区,滨海城区,金岸六道,"南北,车位充足,多人关注,",73.5,万,7820,元/㎡
小淀 满二 小三居 次新小区 有电梯 朝南 中间好楼层,3室,2厅,1卫,95,㎡,南,中层(共11层),2021年建造,新城樾风华碧樾园,北辰,小淀,小淀路,"南,热门小区,近地铁,优势户型,",91,万,9579,元/㎡
捡 漏！联排中户地 4层  送阁楼花园车位!,3室,2厅,3卫,205,㎡,南北,共3层,2016年建造,首创采薇雅苑(别墅),武清,高村镇,"书院道,近凤港路","南北,满五年,绿化率高,",220,万,10732,元/㎡
汇颐花园 精装修 交通便利 近医院 购物方便 满五  ,2室,1厅,1卫,101.13,㎡,南北,共5层,2009年建造,汇颐花园,西青,李七庄,"广秀路,近津涞公路","南北,满五年,近地铁,采光较好,",185,万,18294,元/㎡
   金泰丽舍精装一居 好楼层好位置 交通便利 随时看房,1室,1厅,1卫,58.93,㎡,南北,高层(共26层),2014年建造,金泰丽舍,武清,黄庄街,"滨河道,近翠亨路","南北,房东直卖,满五年,",66,万,11200,元/㎡
赏湖苑 精装修 刚需小三居 南北通透 电梯房 满五  ,3室,2厅,1卫,88,㎡,南北,低层(共8层),2010年建造,赏湖苑,东丽,东丽湖,情景大道,"南北,满五年,多人关注,",67,万,7614,元/㎡
央企开发 师大   南大   90平三室,3室,2厅,1卫,89,㎡,南,高层(共33层),2019年建造,中海公园城悦湖苑,津南,津南八里台,天嘉湖大道,"南,满二年,次新房,户型方正,",65,万,7304,元/㎡
静海镇 精装可拎包入住 高楼层视野无遮挡 满五 购物方便,2室,1厅,1卫,89.54,㎡,南北,共5层,2005年建造,浩祥小区,静海,静海镇,联盟大街,"南北,房东直卖,满五年,",75,万,8377,元/㎡
融创东岸名郡 近地铁 交通便捷 正南朝向 满五 楼龄新,2室,1厅,1卫,97.82,㎡,南,低层(共32层),2016年建造,融创东岸名郡,北辰,双街镇,小街新苑路,"南,房东直卖,满五年,绿化率高,",86,万,8792,元/㎡
海怡园 正南朝向 双卫生间 电梯房 满二 停车方便,4室,2厅,2卫,148,㎡,南,低层(共8层),2020年建造,海怡园,大港,古林街,港东一道,"南,满二年,车位充足,",175,万,11825,元/㎡
天津大学新园村 3楼 3室1厅 南北朝向 私产可贷款,3室,1厅,1卫,85.01,㎡,南北,中层(共6层),2006年建造,天大新园村,南开,学府街,湖滨道,"南北,满五年,",335,万,39408,元/㎡
双卫 近地铁 装修豪华保养好 满二   南北通透 出行方便,4室,2厅,2卫,99.5,㎡,南北,高层(共7层),2017年建造,梧桐公社(南里),静海,团泊镇,"太湖路,近常海道","南北,满二年,",168,万,16885,元/㎡
海花园 满五   电梯洋房 三室两卫 拎包入住有钥匙,3室,2厅,2卫,130.93,㎡,南,低层(共6层),2019年建造,保利海上五月花海花园,大港,古林街,"海景七路,近旭日路","南,满五年,次新房,",215,万,16421,元/㎡
大华锦绣华城 双青精装修商品房 小高层三室 诚意出售,3室,2厅,1卫,92.32,㎡,南北,高层(共15层),2021年建造,大华锦绣华城,北辰,青光,"辰柳道,近新致道","南北,满二年,车位充足,",110,万,11916,元/㎡
和荣苑 朝南 近地铁 交通便利 商品住宅 中间楼层采光好,3室,1厅,1卫,85,㎡,南,中层(共32层),2006年建造,和荣苑,塘沽,渤海石油街,闸南路505号,"南,满五年,",65,万,7648,元/㎡
  六中，通厅，家具家电可留，更多房源随时联系,2室,1厅,1卫,95,㎡,南北,中层(共6层),2000年建造,春晖北里,大港,迎宾街,旭日路120号,"南北,满五年,",112,万,11790,元/㎡
   瞰湖花苑精装一居 好楼层好位置 房主急售,1室,1厅,1卫,57.37,㎡,南北,中层(共26层),2019年建造,御湖庄园瞰湖花苑,武清,黄庄街,泉水道,"南北,唯一住房,车位充足,",70,万,12202,元/㎡
生态城力高阳光海岸 精装两室   合适 看房方便 新小区,2室,2厅,1卫,74.75,㎡,南北,低层(共32层),2016年建造,力高阳光海岸逸海苑,滨海新区,滨海城区,航海道,"南北,满二年,多人关注,",55,万,7358,元/㎡
新城悦隽央著 南向采光好 次新小区 停车方便 满二 电梯房,3室,2厅,1卫,94,㎡,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南,满二年,车位充足,人气热搜,",135,万,14362,元/㎡
降价124万！！急售新城悦隽央著十一中十三小紧邻杨村一中高铁,2室,2厅,1卫,87,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",124,万,14253,元/㎡
急售 十三小 十一中 新城悦隽央著 总价低 看房方便,2室,2厅,1卫,86.49,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",120,万,13875,元/㎡
南北通透 动静分离 大户型 保利朗阅 无中介费随时看,2室,2厅,1卫,81,㎡,南,,,保利朗阅,武清,豆张庄镇,新开路与来源道交口东北侧,"南北通透,厨卫全明,动静分离,低容积,",145.8,万,18000,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
装修好 购物方便 带电梯 小区新 满五   朝南,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
卧室全朝南 动静分离 大户型 天津远郊 荔城世纪 来电价格可议,2室,2厅,1卫,81,㎡,南北,,,荔城世纪,武清,杨村街,强国道与翠通路交口,"卧室全朝南,厨卫全明,动静分离,购物中心,",137.7,万,17000,元/㎡
新城悦隽央著精装修130万通透两室次新房随时看房,2室,2厅,1卫,89.53,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",130,万,14521,元/㎡
新城悦隽央著~3室洋房 11中 带车位 一天未住 中央湖公园,3室,2厅,1卫,109,㎡,南北,高层(共7层),2018年建造,新城悦隽央著,武清,杨村街,新安路,"热门小区,南北通透,房东急售,",150,万,13762,元/㎡
新城央著 十一中 十三小旁 精装2室 超高性价比,2室,2厅,1卫,86.38,㎡,南北,高层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",128,万,14819,元/㎡
降价急售！  11电梯房 新城央著 南北通透小三居 好楼层,3室,2厅,1卫,94,㎡,南北,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,户型方正,",140,万,14894,元/㎡
国企开发 南北通透 客餐厅相连 大户型 中建时代公园 考虑可私聊,3室,2厅,1卫,89,㎡,南,,,中建时代公园,武清,豆张庄镇,来源道与新安路交口西北侧,"低容积,",160,万,17978,元/㎡
杨村街 大两房 南北通透 带电梯 满五 商品住宅 配套齐全,2室,2厅,1卫,85,㎡,南北,高层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",135,万,15883,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,多人关注,",135,万,15883,元/㎡
诚心出新城悦隽央著价可大议新交房小区高品质随时看房,3室,2厅,1卫,109,㎡,南北,高层(共7层),2018年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",160,万,14679,元/㎡
卧室全朝南 客餐厅相连 大户型 特变·中央湖 欢迎联系看房,2室,2厅,1卫,89,㎡,南北,,,特变·中央湖,武清,杨村街,滨湖路与慧源道交叉口西侧,"南北通透,厨卫全明,客餐厅相连,低容积,",146.9,万,16500,元/㎡
光明片 人生一梦，白云苍狗，为您爱的人，筑一座温馨家园！,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",115,万,13328,元/㎡
盛世郦园 满五   近医院 购物方便 有电梯 正南朝向,2室,2厅,0卫,94,㎡,南,低层(共24层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",129,万,13724,元/㎡
荔城公馆 满五   精装可拎包入住 楼龄新 大两居,2室,2厅,1卫,88.21,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",130,万,14738,元/㎡
厨卫全明 户型方正 大户型 天津远郊 经纬城市绿洲武清二期 无中介费随时看,3室,2厅,2卫,125,㎡,南北,,,经纬城市绿洲武清二期,武清,杨村街,雍和道与新安路交口,"南北通透,厨卫全明,双卫生间,高绿化率,",165,万,13200,元/㎡
"正荣润璟湾,2室2厅1卫,主卧朝南,两房朝南",2室,2厅,1卫,82.25,㎡,南,低层(共25层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,绿化率高,",123,万,14955,元/㎡
新城悦隽央著 次新小区 满二 车位充足 小三房 电梯房,3室,2厅,1卫,93.66,㎡,南,高层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南,满二年,车位充足,",149,万,15909,元/㎡
仁恒滨河湾 临地铁 交通便利 房龄新 刚需两居,2室,2厅,1卫,85,㎡,南,高层(共22层),2016年建造,仁恒滨河湾,津南,海河教育园区,达文路3号,"南,热门小区,近地铁,南北通透,",128,万,15059,元/㎡
南北通透 3室2厅 新城悦隽央著 94平 采光好 周边商圈成,3室,2厅,1卫,94,㎡,南北,中层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,车位充足,",138,万,14681,元/㎡
香雍玖和(新房),3室,2厅,2卫,108,㎡,南北,,,香雍玖和(新房),武清,杨村街,光明道与新兴路交口,"南北通透,厨卫全明,主卧套房,低容积,",167.4,万,15500,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
盛世郦园 刚需两居 购物方便 装修好 满五 高楼层视野无遮挡,2室,2厅,1卫,94.28,㎡,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,采光较好,人气热搜,",136,万,14426,元/㎡
精装未住~中建壹方九里宸澜华庭 高楼层大两居 11中，13小,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",125,万,14881,元/㎡
国企开发 南北通透 客餐厅相连 大户型 低单价 北新玉龙湾 欢迎咨询,2室,2厅,1卫,93,㎡,南,,,北新玉龙湾(新房),武清,杨村街,开源道与新兴路交口,,125.6,万,13500,元/㎡
华亭国际洋房 低楼层 公摊少 南北通透全明装修好,2室,2厅,1卫,87.27,㎡,南北,低层(共6层),2007年建造,华亭国际,西青,中北,"中北大道,近星光路","南北,",140,万,16043,元/㎡
远洋未来城冬博苑 次新房 高楼层采光充足 电梯房 商品住宅,2室,2厅,1卫,88,㎡,南北,高层(共22层),2021年建造,远洋未来城冬博苑,北辰,普东街,宜白路,"南北通透,价格优惠,房东急售,",128,万,14546,元/㎡
雍鑫红星华府 精装可拎包入住 次新小区 刚需两居,2室,2厅,1卫,86,㎡,南北,中层(共16层),2019年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满五年,次新房,",140,万,16280,元/㎡
高楼层采光充足 小区新 满五   带电梯 南向采光好,2室,2厅,1卫,81.42,㎡,南,高层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",125,万,15353,元/㎡
厨卫全明 玄关入户 大户型 京能·雍清丽苑二期 欢迎联系看房,3室,2厅,1卫,95,㎡,南北,,,京能·雍清丽苑二期,武清,杨村街,杨村一中西侧，光明道与新安路交口,"低容积,",194.8,万,20500,元/㎡
楼层好 有电梯 房龄新 大两居 精装好房 南北通透,2室,2厅,1卫,87.32,㎡,南北,中层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满五年,",135,万,15461,元/㎡
杨村街 大两居 楼龄新 南北通透 满五   超低密度,2室,2厅,1卫,86,㎡,南北,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南北,满五年,",125,万,14535,元/㎡
枫丹天城 商圈成熟 带电梯 满五   小区新 朝南,2室,2厅,0卫,81.77,㎡,南,高层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",120,万,14676,元/㎡
国企开发 南北通透 玄关入户 大户型 中建国贤府 无中介费随时看,3室,2厅,2卫,99,㎡,南,,,中建国贤府,武清,杨村街,来源道与新安路交口,"卧室全朝南,南北通透,三房朝南,低容积,",188.1,万,19000,元/㎡
富力尚悦居 朝南 楼层好 精装修 刚需小三居 房龄新 有电梯,3室,2厅,1卫,91.21,㎡,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",128,万,14034,元/㎡
莱茵小镇美轩苑 刚需两居 电梯房 南北通透 中间楼层,2室,2厅,1卫,90,㎡,南北,中层(共15层),2012年建造,莱茵小镇美轩苑,西青,杨柳青,崇文道,"南北,满五年,",139,万,15445,元/㎡
香雍玖和 次新小区 高绿化 朝南 刚需小三居 满二 超低密度,3室,2厅,1卫,100,㎡,南,高层(共24层),2021年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,多人关注,",125,万,12500,元/㎡
大型社区 玄关入户 自持物业 无中介费随时看,3室,2厅,2卫,107,㎡,南北,,,龙湖金科雍鑫春江天玺,武清,杨村街,新兴道与浩源道交口,"低容积,",135,万,12617,元/㎡
杨村街 板楼 大两居 南北通透 精装修 70年产权,2室,2厅,1卫,81,㎡,南北,低层(共32层),2014年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南北,满五年,户型方正,",133,万,16420,元/㎡
雍鑫金科集美雍阳 次新房 满二 密度低 南北通透 电梯房,2室,2厅,1卫,88,㎡,南北,中层(共7层),2021年建造,雍鑫金科集美雍阳,武清,杨村街,新安路,"南北,满二年,车位充足,",136,万,15455,元/㎡
张家窝 小三居 小区新 车位充足 环境优美 朝南 带电梯,3室,2厅,1卫,99,㎡,南,低层(共17层),2018年建造,社会山西苑,西青,张家窝,"祥和大道,近枫雅道","南,热门小区,南北通透,满五,",145,万,14647,元/㎡
雍鑫金科集美雍阳 高楼层视野无遮挡 带电梯 南北通透 满二,2室,2厅,1卫,88,㎡,南北,高层(共7层),2021年建造,雍鑫金科集美雍阳,武清,杨村街,新安路,"南北,满二年,车位充足,",145,万,16478,元/㎡
高绿化率 客餐厅相连 低单价 欢迎联系看房,3室,2厅,2卫,105,㎡,南北,,,新城悦隽年华,武清,下朱庄街,文汇路与致远道交口,"低容积,",137,万,13048,元/㎡
荔城公馆 满五 房龄新 有电梯 装修好 大两房,2室,2厅,1卫,83.46,㎡,南,低层(共18层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",139,万,16655,元/㎡
富力湾双阳两室 近地铁 采光视野好,2室,2厅,1卫,89.2,㎡,南北,高层(共28层),2008年建造,富力湾,西青,中北,"万卉路,近卉锦道","南北,房东直卖,绿化率高,",140,万,15696,元/㎡
十一中 经纬二期 三居双卫 中高楼层 采光好 满两年,3室,2厅,2卫,120.94,㎡,南,高层(共27层),2023年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南,满二年,车位充足,多人关注,",125,万,10336,元/㎡
高绿化率 客餐厅相连 低总价 欢迎联系看房,3室,2厅,1卫,89,㎡,南北,,,新城悦隽年华,武清,下朱庄街,文汇路与致远道交口,"低容积,",113,万,12697,元/㎡
盛世家园 商业配套齐全  电梯房 低容积 刚需两居,2室,2厅,1卫,101,㎡,南,低层(共23层),2013年建造,盛世家园,武清,杨村街,振华西道429号,"南,满五年,",158,万,15644,元/㎡
高绿化 刚需小三居 满五   低容积 南北通透 楼层好,3室,2厅,2卫,95.67,㎡,南北,中层(共18层),2012年建造,宸宜花园,北辰,普东街,姚江东路,"热门小区,南北通透,房东急售,",126,万,13171,元/㎡
翠亨花园北里 高楼层视野无遮挡 满五 出行方便 超低密度,3室,2厅,1卫,117.41,㎡,南,高层(共6层),2005年建造,翠亨花园北里,武清,杨村街,泉达路,"南,满五年,人气热搜,",130,万,11073,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
高绿化率 大户型 低单价 无中介费随时看,3室,2厅,2卫,108,㎡,南北,,,津铁镜界,静海,团泊镇,洪泽湖路与鄱阳湖路交口东侧200米,"购物中心,低容积,",135,万,12500,元/㎡
南K对面 看房方便 房主诚意出售 拎包入住 位置 采光好,2室,2厅,1卫,83,㎡,南北,高层(共28层),2020年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,"南北,热门小区,近地铁,配套成熟,",120,万,14458,元/㎡
都旺新城竹芳园 大两室 南北通透 采光充足 视野开阔   近,2室,2厅,1卫,87.98,㎡,南北,高层(共18层),2005年建造,都旺新城竹芳园,北辰,果园新村,高峰路,"南北,满五年,人气热搜,",125,万,14208,元/㎡
   远洋香奈全阳精装两居 位置好近城际 随时看房,2室,2厅,1卫,85.22,㎡,南北,低层(共26层),2015年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南北,满二年,",140,万,16429,元/㎡
